group_name,label,exterior_image,interior_image,exterior_path,interior_path
JD00001_vs_JD00010_sample0,0,JD00001_vs_JD00010_sample0_exterior.png,JD00001_vs_JD00010_sample0_interior.png,false_match\JD00001_vs_JD00010_sample0_exterior.png,false_match\JD00001_vs_JD00010_sample0_interior.png
JD00001_vs_JD00010_sample1,0,JD00001_vs_JD00010_sample1_exterior.png,JD00001_vs_JD00010_sample1_interior.png,false_match\JD00001_vs_JD00010_sample1_exterior.png,false_match\JD00001_vs_JD00010_sample1_interior.png
JD00001_vs_JD00010_sample2,0,JD00001_vs_JD00010_sample2_exterior.png,JD00001_vs_JD00010_sample2_interior.png,false_match\JD00001_vs_JD00010_sample2_exterior.png,false_match\JD00001_vs_JD00010_sample2_interior.png
JD00009_vs_JD04067_sample0,0,JD00009_vs_JD04067_sample0_exterior.png,JD00009_vs_JD04067_sample0_interior.png,false_match\JD00009_vs_JD04067_sample0_exterior.png,false_match\JD00009_vs_JD04067_sample0_interior.png
JD00009_vs_JD04067_sample1,0,JD00009_vs_JD04067_sample1_exterior.png,JD00009_vs_JD04067_sample1_interior.png,false_match\JD00009_vs_JD04067_sample1_exterior.png,false_match\JD00009_vs_JD04067_sample1_interior.png
JD00009_vs_JD04067_sample2,0,JD00009_vs_JD04067_sample2_exterior.png,JD00009_vs_JD04067_sample2_interior.png,false_match\JD00009_vs_JD04067_sample2_exterior.png,false_match\JD00009_vs_JD04067_sample2_interior.png
JD00009_vs_JD05063_sample0,0,JD00009_vs_JD05063_sample0_exterior.png,JD00009_vs_JD05063_sample0_interior.png,false_match\JD00009_vs_JD05063_sample0_exterior.png,false_match\JD00009_vs_JD05063_sample0_interior.png
JD00009_vs_JD05063_sample1,0,JD00009_vs_JD05063_sample1_exterior.png,JD00009_vs_JD05063_sample1_interior.png,false_match\JD00009_vs_JD05063_sample1_exterior.png,false_match\JD00009_vs_JD05063_sample1_interior.png
JD00009_vs_JD05063_sample2,0,JD00009_vs_JD05063_sample2_exterior.png,JD00009_vs_JD05063_sample2_interior.png,false_match\JD00009_vs_JD05063_sample2_exterior.png,false_match\JD00009_vs_JD05063_sample2_interior.png
JD00014_vs_JD00168_sample0,0,JD00014_vs_JD00168_sample0_exterior.png,JD00014_vs_JD00168_sample0_interior.png,false_match\JD00014_vs_JD00168_sample0_exterior.png,false_match\JD00014_vs_JD00168_sample0_interior.png
JD00014_vs_JD00168_sample1,0,JD00014_vs_JD00168_sample1_exterior.png,JD00014_vs_JD00168_sample1_interior.png,false_match\JD00014_vs_JD00168_sample1_exterior.png,false_match\JD00014_vs_JD00168_sample1_interior.png
JD00014_vs_JD15354_sample0,0,JD00014_vs_JD15354_sample0_exterior.png,JD00014_vs_JD15354_sample0_interior.png,false_match\JD00014_vs_JD15354_sample0_exterior.png,false_match\JD00014_vs_JD15354_sample0_interior.png
JD00014_vs_JD15354_sample1,0,JD00014_vs_JD15354_sample1_exterior.png,JD00014_vs_JD15354_sample1_interior.png,false_match\JD00014_vs_JD15354_sample1_exterior.png,false_match\JD00014_vs_JD15354_sample1_interior.png
JD00014_vs_JD15892_sample0,0,JD00014_vs_JD15892_sample0_exterior.png,JD00014_vs_JD15892_sample0_interior.png,false_match\JD00014_vs_JD15892_sample0_exterior.png,false_match\JD00014_vs_JD15892_sample0_interior.png
JD00014_vs_JD15892_sample1,0,JD00014_vs_JD15892_sample1_exterior.png,JD00014_vs_JD15892_sample1_interior.png,false_match\JD00014_vs_JD15892_sample1_exterior.png,false_match\JD00014_vs_JD15892_sample1_interior.png
JD00014_vs_JD15892_sample2,0,JD00014_vs_JD15892_sample2_exterior.png,JD00014_vs_JD15892_sample2_interior.png,false_match\JD00014_vs_JD15892_sample2_exterior.png,false_match\JD00014_vs_JD15892_sample2_interior.png
JD00019_vs_JD10169_sample0,0,JD00019_vs_JD10169_sample0_exterior.png,JD00019_vs_JD10169_sample0_interior.png,false_match\JD00019_vs_JD10169_sample0_exterior.png,false_match\JD00019_vs_JD10169_sample0_interior.png
JD00019_vs_JD10169_sample1,0,JD00019_vs_JD10169_sample1_exterior.png,JD00019_vs_JD10169_sample1_interior.png,false_match\JD00019_vs_JD10169_sample1_exterior.png,false_match\JD00019_vs_JD10169_sample1_interior.png
JD00019_vs_JD10169_sample2,0,JD00019_vs_JD10169_sample2_exterior.png,JD00019_vs_JD10169_sample2_interior.png,false_match\JD00019_vs_JD10169_sample2_exterior.png,false_match\JD00019_vs_JD10169_sample2_interior.png
JD00020_vs_JD10499_sample1,0,JD00020_vs_JD10499_sample1_exterior.png,JD00020_vs_JD10499_sample1_interior.png,false_match\JD00020_vs_JD10499_sample1_exterior.png,false_match\JD00020_vs_JD10499_sample1_interior.png
JD00020_vs_JD10499_sample2,0,JD00020_vs_JD10499_sample2_exterior.png,JD00020_vs_JD10499_sample2_interior.png,false_match\JD00020_vs_JD10499_sample2_exterior.png,false_match\JD00020_vs_JD10499_sample2_interior.png
JD00020_vs_JD10499_sample3,0,JD00020_vs_JD10499_sample3_exterior.png,JD00020_vs_JD10499_sample3_interior.png,false_match\JD00020_vs_JD10499_sample3_exterior.png,false_match\JD00020_vs_JD10499_sample3_interior.png
JD00022_vs_JD01717_sample0,0,JD00022_vs_JD01717_sample0_exterior.png,JD00022_vs_JD01717_sample0_interior.png,false_match\JD00022_vs_JD01717_sample0_exterior.png,false_match\JD00022_vs_JD01717_sample0_interior.png
JD00022_vs_JD01717_sample1,0,JD00022_vs_JD01717_sample1_exterior.png,JD00022_vs_JD01717_sample1_interior.png,false_match\JD00022_vs_JD01717_sample1_exterior.png,false_match\JD00022_vs_JD01717_sample1_interior.png
JD00023_vs_JD00035_sample0,0,JD00023_vs_JD00035_sample0_exterior.png,JD00023_vs_JD00035_sample0_interior.png,false_match\JD00023_vs_JD00035_sample0_exterior.png,false_match\JD00023_vs_JD00035_sample0_interior.png
